,Species,Indentation_line,x,y,H,E,C,Ca,F,Fe,Mg,Na,O,P
1,AAl,1,88,319,5.229424,94.280405,0.024137931,0.2517241379,0.0114942529,0.008045977,0.0091954023,0.0206896552,0.1149425287,0.2379310345
2,AAl,1,89.3333333333,318.9555555556,3.988668,84.402057,0.0245951469,0.2385185185,0.0111851852,0.0070395913,0.008357599,0.0190523627,0.1063550447,0.2325440613
3,AAl,1,90.6666666667,318.9111111111,4.232561,86.312973,0.0245159642,0.239366539,0.0124342273,0.0093588761,0.0100280971,0.0191877395,0.1046743295,0.2219463602
4,AAl,1,92,318.8666666667,4.322838,88.922949,0.0228505747,0.2261149425,0.0157701149,0.0098390805,0.0092413793,0.0192183908,0.1017471264,0.224091954
5,AAl,1,93.3333333333,318.8222222222,5.354495,99.430872,0.0223141762,0.2368480204,0.0133588761,0.0106411239,0.0111315453,0.0201226054,0.1057828863,0.2324137931
6,AAl,1,94.6666666667,318.7777777778,5.450653,103.251795,0.0234993614,0.2512132822,0.0157598978,0.0115197957,0.010293742,0.0180587484,0.1182375479,0.2309833972
7,AAl,1,96,318.7333333333,5.496005,100.746271,0.0229425287,0.248,0.0142528736,0.0101609195,0.0076321839,0.0143448276,0.1218390805,0.2362298851
8,AAl,1,97.3333333333,318.6888888889,4.745987,95.854465,0.02449553,0.2756117497,0.0146871009,0.0081481481,0.0065747126,0.014247765,0.1159642401,0.2326845466
9,AAl,1,98.6666666667,318.6444444444,5.224912,97.210878,0.0257318008,0.272403576,0.0127765006,0.0067484036,0.0055427842,0.014247765,0.1015989783,0.2329297573
10,AAl,1,100,318.6,4.03031,87.004399,0.0293793103,0.2715862069,0.0100689655,0.0068965517,0.0067586207,0.0180689655,0.0875862069,0.2376551724
11,AAl,1,101.3333333333,318.5555555556,5.629566,99.062304,0.0292464879,0.2848020434,0.008045977,0.0044699872,0.0079182631,0.0183652618,0.0871264368,0.2311111111
12,AAl,1,102.6666666667,318.5111111111,5.555529,100.978815,0.0252924649,0.2738288633,0.0057573436,0.0047049808,0.0095019157,0.0170983397,0.0915913155,0.2330625798
13,AAl,1,104,318.4666666667,5.189471,102.004527,0.0228965517,0.2830804598,0.0072643678,0.004183908,0.0111264368,0.0162758621,0.1029425287,0.2287816092
14,AAl,1,105.3333333333,318.4222222222,4.580889,92.527412,0.018385696,0.2906717752,0.0070651341,0.0038825032,0.010743295,0.0149527458,0.10899106,0.2223908046
15,AAl,1,106.6666666667,318.3777777778,4.257399,87.342587,0.0187535121,0.2908454662,0.0070957854,0.0036475096,0.0104878672,0.0146257982,0.1175632184,0.2224725415
16,AAl,1,108,318.3333333333,4.02415,88.930062,0.0216091954,0.2848275862,0.0057471264,0.0045977011,0.0114942529,0.0170114943,0.1181609195,0.2335632184
17,AAl,1,109.3333333333,318.2888888889,3.644256,82.089828,0.0246947637,0.2806436782,0.00499106,0.0034176245,0.0127458493,0.0161277139,0.1135734355,0.2356066411
18,AAl,1,110.6666666667,318.2444444444,3.720588,77.732664,0.0276985951,0.2666257982,0.0079948914,0.0033869732,0.0141864623,0.0160868455,0.1141149425,0.2374763729
19,AAl,1,112,318.2,2.014665,59.647838,0.0325517241,0.247862069,0.0093793103,0.0049655172,0.0140689655,0.0194482759,0.1073103448,0.2326896552
20,AAl,1,113.3333333333,318.1555555556,2.23912,62.195165,0.0369757344,0.2581915709,0.0105900383,0.0043524904,0.0106666667,0.0189067688,0.1155402299,0.2233512133
21,AAl,1,114.6666666667,318.1111111111,2.285007,65.615394,0.0361685824,0.2570881226,0.0088633461,0.0038314176,0.009706258,0.0219923372,0.1176756066,0.2145338442
22,AAl,1,116,318.0666666667,2.440799,49.96488,0.0353103448,0.259954023,0.0055172414,0.0028045977,0.0097471264,0.0214712644,0.1094712644,0.2130114943
23,AAl,1,117.3333333333,318.0222222222,2.651285,53.707383,0.0285261814,0.2595146871,0.0064367816,0.0020842912,0.0092618135,0.0220485313,0.1057471264,0.2095836526
24,AAl,1,118.6666666667,317.9777777778,2.355684,53.718976,0.0262273308,0.2587024266,0.0063908046,0.0034482759,0.0096449553,0.0215989783,0.0924648787,0.2090727969
25,AAl,1,120,317.9333333333,3.020447,65.098949,0.0268505747,0.2609655172,0.0074482759,0.004137931,0.0096091954,0.0220689655,0.0892413793,0.204091954
26,AAl,1,121.3333333333,317.8888888889,2.774783,55.365902,0.0304980843,0.2731034483,0.0077905492,0.0049042146,0.0100383142,0.0217113665,0.0862835249,0.2171392082
27,AAl,1,122.6666666667,317.8444444444,2.985436,59.330654,0.0311519796,0.2820842912,0.0079233716,0.0049348659,0.0105389527,0.0168378033,0.089798212,0.2176807152
28,AAl,1,124,317.8,2.770911,56.46938,0.0297931034,0.2790344828,0.0070344828,0.0042758621,0.011862069,0.0166896552,0.0953103448,0.2205517241
29,AAl,1,125.3333333333,317.7555555556,3.148649,66.844891,0.0350804598,0.2755555556,0.0069527458,0.004137931,0.0094201788,0.0124137931,0.0967305236,0.2162605364
30,AAl,1,126.6666666667,317.7111111111,2.64801,60.070918,0.0361532567,0.2655121328,0.0054508301,0.0040051086,0.0080817369,0.0101149425,0.1008684547,0.2042247765
31,AAl,1,128,317.6666666667,2.82184,57.520539,0.0390804598,0.2682758621,0.0057471264,0.0032183908,0.0075862069,0.012183908,0.1018390805,0.22
32,AAl,1,129.3333333333,317.6222222222,2.683745,57.517643,0.0356015326,0.2645108557,0.0062375479,0.0033001277,0.0099157088,0.0133639847,0.1069987229,0.2238569604
33,AAl,1,130.6666666667,317.5777777778,3.275852,67.977468,0.0330779055,0.2673307791,0.0060025543,0.003688378,0.009752235,0.0150395913,0.1090217114,0.2401226054
34,AAl,1,132,317.5333333333,2.128075,50.865786,0.0301609195,0.2591724138,0.0062068966,0.0031264368,0.0130574713,0.0171954023,0.1076321839,0.247816092
35,AAl,1,133.3333333333,317.4888888889,2.695096,63.695893,0.0374252874,0.2545185185,0.0056245211,0.0044853129,0.0117292465,0.0170166028,0.101348659,0.2381404853
36,AAl,1,134.6666666667,317.4444444444,3.058311,75.471166,0.0427075351,0.2601277139,0.0051340996,0.0031673052,0.0110344828,0.0170881226,0.0965261814,0.2348914432
37,AAl,1,136,317.4,2.979973,68.186056,0.0437241379,0.271862069,0.0068965517,0.0024827586,0.0126896552,0.0182068966,0.0937931034,0.2173793103
38,AAl,1,137.3333333333,317.3555555556,2.687069,66.956997,0.0465031928,0.2812260536,0.0065696041,0.0028250319,0.010293742,0.0170779055,0.0900485313,0.2234636015
39,AAl,1,138.6666666667,317.3111111111,2.737664,66.997185,0.0385644955,0.2805210728,0.0073869732,0.0022120051,0.0096398467,0.0177011494,0.086063857,0.2154329502
40,AAl,1,140,317.2666666667,2.849617,65.721061,0.0351724138,0.2797241379,0.0065287356,0.0029425287,0.0084597701,0.0203678161,0.0850114943,0.2263908046
41,AAl,1,141.3333333333,317.2222222222,2.811932,64.893536,0.0313409962,0.2618646232,0.0042145594,0.0023754789,0.0089655172,0.0189272031,0.0871775223,0.2375989783
42,AAl,1,142.6666666667,317.1777777778,3.044857,75.51419,0.0293282248,0.264633461,0.0037854406,0.0023959132,0.0089655172,0.0217471264,0.0946871009,0.2524342273
43,AAl,1,144,317.1333333333,3.319493,81.759062,0.0334252874,0.2609655172,0.004137931,0.0022528736,0.0095632184,0.02,0.0963218391,0.2544367816
44,AAl,1,145.3333333333,317.0888888889,3.396368,74.161719,0.0330421456,0.2627790549,0.0039284802,0.0024623244,0.0093639847,0.0182426564,0.0956015326,0.2344469987
45,AAl,1,146.6666666667,317.0444444444,3.312495,69.174773,0.0375887612,0.2556985951,0.0030395913,0.0028199234,0.0089348659,0.016761175,0.0889706258,0.2065951469
46,AAl,1,148,317,2.485614,63.075685,0.0455172414,0.2427586207,0.0034482759,0.0020689655,0.0082758621,0.0103448276,0.0848275862,0.1813793103
47,AAl,1,149.3333333333,316.9555555556,0.941453,36.362978,0.0491851852,0.2196781609,0.002467433,0.0018492976,0.0068148148,0.0115249042,0.084807152,0.1721328225
48,AAl,1,150.6666666667,316.9111111111,1.554655,38.408931,0.0538544061,0.2061609195,0.0042452107,0.0009808429,0.0072337165,0.0143959132,0.082743295,0.1699565773
49,AAl,1,152,316.8666666667,1.204634,36.827084,0.0557241379,0.2008275862,0.0047356322,0.0005977011,0.0057931034,0.015862069,0.0859770115,0.1782528736
50,AAl,1,153.3333333333,316.8222222222,1.486307,40.021538,0.0543295019,0.1928582375,0.0042452107,0.0005670498,0.0058850575,0.0182120051,0.0870600255,0.1865696041
51,AAl,1,154.6666666667,316.7777777778,1.591245,40.603204,0.0538697318,0.1947381865,0.0037547893,0.0005363985,0.0075095785,0.0162707535,0.0846998723,0.2000766284
52,AAl,1,156,316.7333333333,1.29763,36.72876,0.0553103448,0.1897471264,0.0020689655,0.0005057471,0.0100229885,0.0142528736,0.0897931034,0.1982528736
53,AAl,1,157.3333333333,316.6888888889,1.239429,35.72169,0.056761175,0.1835146871,0.0022988506,0.0006896552,0.0114074074,0.0132924649,0.0939003831,0.1924291188
54,AAl,1,158.6666666667,316.6444444444,1.230347,33.817289,0.0629731801,0.1779157088,0.0026257982,0.0006896552,0.0120510856,0.0132822478,0.0982528736,0.1784418902
55,AAl,1,160,316.6,1.416216,39.198286,0.0668965517,0.1742068966,0.0030344828,0.0006896552,0.0102068966,0.0140689655,0.1011034483,0.171862069
56,AAl,1,161.3333333333,316.5555555556,1.648057,41.746477,0.0713920817,0.1734355045,0.0036015326,0.0013793103,0.0067177522,0.0130268199,0.0979054917,0.1650063857
57,AAl,1,162.6666666667,316.5111111111,1.267989,36.347621,0.0702579821,0.1690523627,0.0031111111,0.0013793103,0.0049297573,0.0176960409,0.0911826309,0.1661711367
58,AAl,1,164,316.4666666667,1.355532,35.15486,0.0675862069,0.1765057471,0.0027126437,0.0017471264,0.0058390805,0.0182068966,0.0885977011,0.1662528736
59,AAl,1,165.3333333333,316.4222222222,1.076234,32.248037,0.0678058748,0.1687765006,0.0020332056,0.0015478927,0.0077547893,0.0188148148,0.0931698595,0.175366539
60,AAl,1,166.6666666667,316.3777777778,1.466254,36.48988,0.0651392082,0.1711877395,0.0013793103,0.0011187739,0.0127305236,0.0191417625,0.0929859515,0.1825389527
61,AAl,1,168,316.3333333333,1.307606,34.030952,0.0602298851,0.1726436782,0.0013793103,0.0011494253,0.0140229885,0.016091954,0.0963218391,0.175862069
62,AAl,1,169.3333333333,316.2888888889,1.571151,36.785061,0.0560613027,0.1760664112,0.0022988506,0.0006896552,0.0139565773,0.0169808429,0.0909425287,0.171192848
63,AAl,1,170.6666666667,316.2444444444,1.186027,30.665791,0.053037037,0.1863039591,0.0032183908,0.0006896552,0.0136194125,0.0153461047,0.0926692209,0.1598825032
64,AAl,1,172,316.2,1.472806,35.37797,0.0635862069,0.1868965517,0.0034482759,0,0.0122758621,0.0129655172,0.0940689655,0.148
65,AAl,1,173.3333333333,316.1555555556,1.382167,36.09462,0.0627586207,0.1879284802,0.0025287356,0.0002298851,0.0132618135,0.0111775223,0.0952030651,0.1591264368
66,AAl,1,174.6666666667,316.1111111111,1.321732,33.077912,0.0666411239,0.1846487867,0.0024776501,0.0010983397,0.0142528736,0.0135887612,0.0950702427,0.1623243934
67,AAl,1,176,316.0666666667,1.258532,30.080529,0.0723678161,0.1831264368,0.0020229885,0.0013333333,0.0131494253,0.0167356322,0.0924137931,0.1589425287
68,AAl,1,177.3333333333,316.0222222222,1.413436,31.211489,0.0648786718,0.1883729246,0.002743295,0.0016091954,0.0107994891,0.0241634738,0.0894814815,0.1656347382
69,AAl,1,178.6666666667,315.9777777778,1.174544,32.488354,0.069936143,0.1983346105,0.0022988506,0.0016091954,0.0108301405,0.0254763729,0.0866666667,0.161164751
70,AAl,1,180,315.9333333333,1.272888,33.783525,0.0676781609,0.1946206897,0.0020689655,0.0013793103,0.0097011494,0.0227586207,0.0911724138,0.1620689655
71,AAl,1,181.3333333333,315.8888888889,1.376944,37.275373,0.0645721584,0.1817113665,0.0030651341,0.0020689655,0.0130012771,0.0205363985,0.0894763729,0.169936143
72,AAl,1,182.6666666667,315.8444444444,1.215503,33.300788,0.0682911877,0.1870344828,0.0035555556,0.0020689655,0.0145031928,0.0164291188,0.0916117497,0.1629782886
73,AAl,1,184,315.8,1.270085,33.415278,0.0707586207,0.1856551724,0.0042758621,0.0020689655,0.012137931,0.0166896552,0.0936551724,0.1597241379
74,AAl,1,185.3333333333,315.7555555556,1.637303,40.502448,0.0707994891,0.1883627075,0.0040255428,0.0013180077,0.0120051086,0.0155197957,0.0927356322,0.1666717752
75,AAl,1,186.6666666667,315.7111111111,1.489097,36.658097,0.0691340996,0.1958927203,0.003412516,0.001348659,0.0085721584,0.0144469987,0.0985798212,0.1785747126
76,AAl,1,188,315.6666666667,1.594766,37.6864,0.072183908,0.1848275862,0.004137931,0.0009195402,0.0085057471,0.0156321839,0.0981609195,0.1829885057
77,AAl,1,189.3333333333,315.6222222222,1.448742,33.740061,0.0723933589,0.1879438059,0.0030753512,0.0011238825,0.0094508301,0.0136194125,0.0953563218,0.1876270754
78,AAl,1,190.6666666667,315.5777777778,0.903123,29.323084,0.073302682,0.1894048531,0.0025542784,0.0009808429,0.0086743295,0.0112286079,0.089083014,0.1804853129
79,AAl,1,192,315.5333333333,0.866921,25.69537,0.0784827586,0.1797241379,0.0023908046,0.0003218391,0.0082758621,0.0117701149,0.0877241379,0.1714482759
